Date,Price,Open,High,Low,Vol.,Change %,,Date2,Price2,,Date(Month),Date(Year),,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
1/25/2019,380.25,377,380.5,376,134.09,0.009,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/24/2019,377,378.75,379.75,375.75,124.11,-0.005,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/23/2019,378.75,379.5,381.75,378,127.61,-0.001,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/22/2019,379,380.75,382.25,376.75,211.43,-0.007,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/18/2019,381.75,379.75,383,377.75,191.03,0.005,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/17/2019,380,374,381.5,373.75,207.63,0.016,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/16/2019,374,372.75,375,372.5,164.72,0.007,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/15/2019,371.25,379.5,381,371,251.26,-0.019,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/14/2019,378.5,378.5,381,377,144.74,0.001,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/11/2019,378.25,377,379.25,376.75,131.82,0.005,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/10/2019,376.25,381.5,382.75,376,181.39,-0.015,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/9/2019,382,380.5,383.5,380.5,192.06,0.005,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/8/2019,380,382.5,384.5,379,172.29,-0.006,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/7/2019,382.25,382.25,384,381.75,110.62,-0.002,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/4/2019,383,380,383.5,379.75,178.17,0.009,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/3/2019,379.75,375.5,380.5,374.75,101.46,0.011,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
1/2/2019,375.75,375.25,377.75,374,104.72,0.002,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,
12/31/2018,375,375.5,377,372.75,91.13,-0.001,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/28/2018,375.5,374.5,377.5,374.5,89.17,0.003,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/27/2018,374.5,373.25,376.5,373.25,96.24,0.003,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/26/2018,373.25,378.25,379.25,372.5,97.15,-0.012,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/24/2018,377.75,378.25,379,375.25,54.84,-0.002,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/21/2018,378.5,375.5,379.5,374.75,138.73,0.009,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
12/20/2018,375.25,381.75,382.75,375,205.5,-0.017,,,,,12,2018,,,,,,,,,,,,,,,,,,,,,
